iss_PMU,1-stage,2-stage,4-stage,8-stage,16-stage,64-stage
0, 129265, 23158, 11723, 17032, 24038, 27308
1, 92028, 41745, 10965, 7797, 7242, 7731
2, 40368, 30538, 11903, 6439, 5149, 5038
3, 29710, 24766, 11771, 5892, 4302, 4125
4, 48953, 17332, 11219, 6214, 4114, 3969
5, 37909, 15168, 12310, 6571, 4138, 3694
6, 10100, 19057, 12741, 7225, 4425, 3727
7, 2064, 18552, 12263, 7949, 4607, 3825
8, 7608, 15142, 13652, 9522, 5634, 4570
9, 23244, 20883, 21058, 14979, 8936, 7314
10, 38044, 35290, 33901, 26330, 16613, 13274
11, 33828, 37323, 41222, 38891, 28914, 23768
12, 16424, 21911, 30940, 40129, 40484, 35823
13, 3944, 6512, 12436, 23898, 37057, 40513
14, 466, 925, 2481, 7084, 17779, 24502
15, 16, 33, 163, 764, 3081, 5724
16, 0, 0, 1, 13, 100, 287

