iss_PMU,4-stage-lock,4-stage-nolock,8-stage-lock,8-stage-nolock,16-stage-lock,16-stage-nolock,64-stage-lock,64-stage-nolock
0, 11352, 7, 16068, 7, 22238, 7, 25861, 7
1, 11806, 0, 7754, 0, 7026, 0, 7323, 0
2, 12952, 0, 6793, 0, 4872, 0, 4755, 0
3, 12559, 0, 6482, 0, 4168, 0, 3867, 0
4, 12727, 0, 6737, 0, 4225, 0, 3716, 0
5, 13973, 0, 7541, 0, 4550, 0, 3593, 0
6, 14508, 0, 8675, 0, 4815, 0, 3777, 0
7, 14619, 0, 9911, 0, 5566, 0, 4222, 0
8, 16203, 0, 12337, 0, 7121, 0, 5356, 0
9, 22641, 0, 17762, 0, 11061, 0, 8446, 0
10, 33872, 0, 28493, 0, 19863, 0, 15513, 0
11, 39221, 0, 39383, 0, 32731, 0, 26855, 0
12, 27919, 0, 37219, 0, 41112, 0, 38946, 0
13, 11043, 0, 20176, 0, 33358, 0, 38421, 0
14, 2125, 0, 5615, 0, 13516, 0, 20384, 0
15, 172, 0, 596, 0, 2057, 0, 4178, 0
16, 6, 125006, 9, 125006, 76, 125006, 159, 125006

