iss_PMU,4-subbanks,8-subbanks,16-subbanks,32-subbanks,64-subbanks,128-subbanks,256-subbanks,512-subbanks,1024-subbanks,2048-subbanks,1048576-subbanks
0, 15735, 15183, 14133, 13492, 13006, 14996, 18101, 20024, 21591, 22946, 26182
1, 14847, 13894, 12175, 9913, 8004, 6915, 6796, 7054, 7161, 7082, 7847
2, 14328, 13871, 12163, 10517, 7959, 6198, 5352, 5196, 5083, 5001, 5238
3, 13909, 13334, 12250, 10459, 8307, 6250, 5129, 4701, 4569, 4378, 4619
4, 16033, 15400, 14172, 12411, 9995, 7334, 5658, 4774, 4406, 4222, 4188
5, 16709, 16376, 15295, 13912, 11214, 8139, 6068, 5022, 4532, 4280, 4309
6, 15090, 14694, 14131, 13020, 11122, 8413, 6148, 5121, 4548, 4368, 4636
7, 13582, 13390, 13039, 12372, 10756, 8545, 6514, 5534, 4944, 4833, 5046
8, 14803, 14766, 14357, 13599, 12015, 9789, 7770, 6743, 6142, 5694, 5982
9, 22235, 21960, 21302, 20199, 17986, 14823, 12190, 10355, 9689, 9094, 9108
10, 34475, 33828, 33418, 32239, 30005, 25786, 21637, 18916, 17556, 16879, 16827
11, 37889, 38225, 38584, 39243, 39006, 36656, 32974, 30628, 30008, 28987, 29015
12, 26862, 27725, 29008, 30941, 34208, 37778, 39691, 40225, 39931, 40302, 39319
13, 11054, 11497, 12490, 14308, 18368, 24701, 30586, 34285, 35955, 36928, 36831
14, 2323, 2380, 2736, 3382, 4905, 8377, 12602, 15238, 16597, 17540, 17826
15, 197, 204, 237, 294, 523, 1122, 1969, 2566, 2961, 3052, 3169
16, 2, 3, 7, 9, 18, 29, 66, 100, 111, 106, 114

