num_splits,0-split_width,4-split_width,16-split_width,64-split_width,128-split_width,256-split_width,512-split_width,1024-split_width
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 62435, 0, 0, 7944, 23268, 38633, 49404, 55642
2, 110, 0, 2385, 35380, 32705, 21973, 12597, 6762
3, 0, 0, 19580, 16612, 6129, 1854, 524, 127
4,0, 4, 25552, 2400, 401, 69, 7, 3
5,0, 1120, 11873, 171, 17, 1, 0, 0
6,0, 9325, 2745, 8, 0, 0, 0, 0
7,0, 20775, 347, 0, 0, 0, 0, 0
8,0, 19028, 25,0,0,0,0,0
9,0, 9151, 1,0,0,0,0,0
10,0, 2584, 0,0,0,0,0,0
11,0, 456, 0,0,0,0,0,0
12,0, 56, 0,0,0,0,0,0
13,0, 4, 0,0,0,0,0,0
14,0, 0, 0,0,0,0,0,0
15,0, 0, 0,0,0,0,0,0

