req_PMU,4-subbanks,8-subbanks,16-subbanks,32-subbanks,64-subbanks,128-subbanks,256-subbanks,512-subbanks,1024-subbanks,2048-subbanks,1048576-subbanks
0, 15735, 15183, 14133, 13492, 13006, 14996, 18101, 20024, 21591, 22946, 26182
1, 9429, 8964, 7795, 6257, 4846, 4004, 3708, 3576, 3510, 3411, 3687
2, 9722, 8961, 7815, 6546, 4973, 3891, 3325, 3231, 3199, 3082, 3312
3, 8505, 8446, 7360, 6129, 4587, 3497, 2982, 2811, 2800, 2619, 2935
4, 8324, 8070, 7249, 6093, 4674, 3454, 2927, 2719, 2562, 2488, 2602
5, 9382, 8633, 7910, 6923, 5466, 3948, 3120, 2718, 2492, 2394, 2394
6, 10190, 9731, 8839, 7504, 5956, 4366, 3192, 2670, 2398, 2238, 2289
7, 9742, 9578, 8703, 7627, 5783, 4107, 3005, 2485, 2262, 2070, 2155
8, 8697, 8361, 7586, 6905, 5447, 3680, 2707, 2291, 2085, 2027, 2029
9, 7406, 7250, 6947, 6215, 5004, 3675, 2575, 2219, 1951, 1913, 1910
10, 6823, 6647, 6461, 5767, 4982, 3489, 2620, 2117, 1980, 1736, 1921
11, 6527, 6364, 6126, 5715, 4591, 3373, 2585, 2058, 1890, 1782, 1922
12, 6158, 5936, 5617, 5341, 4341, 3321, 2413, 2080, 1824, 1804, 1858
13, 5378, 5327, 5075, 4858, 4081, 3061, 2329, 1934, 1711, 1625, 1868
14, 4641, 4672, 4458, 4328, 3741, 2888, 2144, 1850, 1660, 1607, 1781
15, 3780, 3777, 3830, 3782, 3410, 2655, 2051, 1921, 1668, 1664, 1757
16, 24748, 23816, 21329, 18303, 14183, 10751, 8537, 7321, 6790, 6258, 6453
17, 14897, 14458, 13353, 11854, 9558, 6756, 4705, 3654, 3175, 2915, 3010
18, 11846, 11614, 11105, 10183, 8852, 6245, 4378, 3413, 3091, 2743, 2758
19, 9449, 9333, 9270, 8969, 7733, 5915, 4238, 3442, 2955, 2750, 2858
20, 8639, 8628, 8925, 8745, 7719, 6113, 4526, 3706, 3360, 3177, 3323
21, 9956, 9695, 9496, 9298, 8281, 6475, 5004, 4313, 3945, 3715, 4043
22, 10403, 10360, 10139, 9815, 8769, 6781, 5295, 4501, 4097, 4041, 4249
23, 9421, 9383, 9215, 9090, 8136, 6470, 5040, 4285, 3905, 3616, 3838
24, 7154, 7525, 7638, 7767, 7260, 6203, 4859, 4033, 3732, 3545, 3653
25, 5852, 6054, 6607, 6793, 6801, 5977, 4773, 4176, 3878, 3655, 3684
26, 5297, 5462, 5914, 6343, 6486, 5803, 4758, 4256, 4057, 3956, 3971
27, 4834, 4885, 5470, 5945, 6357, 5835, 4829, 4267, 4019, 3996, 4050
28, 3884, 4311, 4778, 5153, 5946, 5539, 4766, 4253, 4081, 3795, 3867
29, 2955, 3269, 3743, 4401, 5347, 5324, 4647, 4037, 4067, 3824, 3799
30, 2349, 2624, 3269, 4005, 4859, 5162, 4676, 4202, 3902, 3828, 3750
31, 1963, 2189, 2823, 3500, 4556, 4926, 4389, 4113, 3939, 3858, 3761
32, 1638, 1873, 2439, 3144, 4166, 4663, 4373, 4104, 3963, 3819, 3824
33, 1279, 1428, 1970, 2738, 3776, 4485, 4338, 4095, 3999, 3890, 3691
34, 937, 1181, 1580, 2189, 3483, 4308, 4214, 3956, 3958, 3914, 3710
35, 704, 843, 1275, 1938, 2998, 4063, 4127, 4034, 3867, 3777, 3655
36, 484, 648, 935, 1559, 2673, 3785, 3904, 3901, 3861, 3797, 3611
37, 368, 442, 739, 1298, 2308, 3473, 3728, 3754, 3855, 3687, 3713
38, 220, 299, 549, 950, 1995, 3241, 3662, 3781, 3724, 3829, 3491
39, 157, 203, 327, 774, 1842, 2966, 3625, 3623, 3699, 3646, 3447
40, 84, 117, 249, 581, 1575, 2861, 3405, 3539, 3699, 3651, 3469
41, 54, 85, 158, 396, 1285, 2682, 3275, 3502, 3715, 3541, 3288
42, 27, 44, 105, 322, 1058, 2406, 3109, 3370, 3482, 3627, 3343
43, 16, 25, 75, 219, 936, 2228, 2969, 3326, 3452, 3494, 3313
44, 8, 17, 41, 155, 749, 1979, 2875, 3290, 3372, 3420, 3144
45, 4, 9, 29, 134, 593, 1803, 2702, 3083, 3317, 3233, 3068
46, 3, 3, 20, 95, 507, 1634, 2543, 3027, 3199, 3413, 3036
47, 2, 3, 7, 46, 402, 1409, 2416, 2866, 3190, 3264, 3023
48, 0, 3, 5, 48, 318, 1286, 2320, 2795, 3022, 3119, 2889
49, 2, 0, 4, 24, 266, 1146, 2161, 2682, 2939, 3055, 2876
50, 0, 1, 3, 13, 187, 981, 2051, 2496, 2821, 2984, 2835
51, 0, 0, 4, 17, 143, 852, 1886, 2360, 2638, 2915, 2734
52, 0, 0, 2, 10, 122, 776, 1835, 2313, 2609, 2797, 2697
53, 0, 0, 0, 5, 73, 683, 1681, 2109, 2480, 2642, 2551
54, 0, 0, 1, 5, 54, 547, 1485, 2128, 2328, 2477, 2510
55, 0, 0, 1, 2, 41, 520, 1415, 1962, 2207, 2429, 2414
56, 0, 0, 1, 0, 41, 432, 1212, 1726, 1977, 2237, 2338
57, 0, 0, 0, 1, 23, 385, 1177, 1698, 1957, 2164, 2208
58, 0, 0, 0, 1, 15, 292, 1094, 1672, 1735, 2015, 2148
59, 0, 0, 0, 0, 11, 270, 1000, 1472, 1583, 1789, 1976
60, 0, 0, 0, 0, 8, 230, 822, 1256, 1540, 1726, 1888
61, 0, 0, 0, 0, 4, 178, 756, 1199, 1469, 1521, 1806
62, 0, 0, 0, 0, 3, 129, 670, 1077, 1182, 1378, 1531
63, 0, 0, 0, 0, 3, 105, 574, 986, 1098, 1263, 1374
64, 0, 0, 0, 0, 8, 373, 2643, 4624, 5271, 6101, 6986

