req_lock,1-stage,2-stage,4-stage,8-stage,16-stage,64-stage
0, 278800, 100858, 39770, 15686, 3606, 760
1, 75781, 67423, 54916, 53390, 39992, 8431
2, 22953, 23775, 20372, 23122, 30312, 11777
3, 10700, 11570, 10718, 11724, 17255, 13123
4, 10489, 10295, 8679, 7771, 10457, 13321
5, 17245, 14643, 10773, 7477, 6287, 12260
6, 19094, 15889, 12157, 7773, 4712, 11061
7, 11789, 10697, 10475, 7467, 4179, 9917
8, 3890, 4502, 6645, 6091, 3649, 8482
9, 693, 1832, 3872, 4630, 3334, 6614
10, 71, 1458, 2278, 3331, 3035, 5515
11, 17, 1279, 1476, 2388, 2708, 4540
12, 10, 948, 1127, 1793, 2375, 3779
13, 13, 503, 817, 1466, 2209, 3357
14, 20, 292, 993, 1779, 2341, 3149
15, 10, 3023, 4782, 4500, 2985, 2917
16, 62396, 47579, 23990, 10484, 4092, 2800
17, 0, 5380, 12058, 9276, 4289, 2800
18, 0, 790, 6378, 6910, 4187, 2820
19, 0, 535, 3523, 5025, 4013, 2726
20, 0, 1085, 2482, 3773, 3946, 2728
21, 0, 1575, 2094, 3349, 3744, 2750
22, 0, 1448, 1831, 2797, 3512, 2892
23, 0, 723, 1449, 2374, 3500, 2830
24, 0, 204, 1135, 2071, 3214, 2966
25, 0, 25, 1012, 1921, 3033, 2923
26, 0, 4, 928, 1884, 2909, 2996
27, 0, 0, 909, 1721, 2762, 3131
28, 0, 0, 769, 1573, 2689, 3130
29, 0, 0, 682, 1489, 2632, 3109
30, 0, 0, 555, 1431, 2379, 3115
31, 0, 0, 460, 1357, 2305, 3187
32, 0, 0, 329, 1230, 2190, 3035
33, 0, 0, 173, 1082, 2053, 3033
34, 0, 0, 88, 1007, 1962, 2942
35, 0, 0, 35, 910, 1857, 2907
36, 0, 0, 15, 748, 1713, 2791
37, 0, 0, 2, 680, 1500, 2682
38, 0, 0, 1, 603, 1484, 2591
39, 0, 0, 1, 498, 1342, 2539
40, 0, 0, 0, 478, 1239, 2375
41, 0, 0, 0, 381, 1054, 2206
42, 0, 0, 0, 295, 1004, 2047
43, 0, 0, 0, 280, 839, 1893
44, 0, 0, 0, 211, 796, 1814
45, 0, 0, 0, 149, 745, 1632
46, 0, 0, 0, 132, 607, 1571
47, 0, 0, 0, 83, 541, 1376
48, 0, 0, 0, 57, 512, 1304
49, 0, 0, 0, 38, 436, 1185
50, 0, 0, 0, 21, 361, 1091
51, 0, 0, 0, 7, 310, 944
52, 0, 0, 0, 10, 284, 923
53, 0, 0, 0, 2, 230, 789
54, 0, 0, 0, 2, 209, 669
55, 0, 0, 0, 2, 146, 664
56, 0, 0, 0, 0, 141, 519
57, 0, 0, 0, 0, 96, 482
58, 0, 0, 0, 0, 79, 420
59, 0, 0, 0, 0, 61, 420
60, 0, 0, 0, 0, 54, 331
61, 0, 0, 0, 0, 29, 283
62, 0, 0, 0, 0, 30, 245
63, 0, 0, 0, 0, 28, 228
64, 0, 0, 0, 0, 39, 1355

