stage_occ_PMU,4-pipedepth,8-pipedepth,16-pipedepth,64-pipedepth
0, 7135, 9140, 10635, 11378
1, 3590, 4124, 4481, 4766
2, 6120, 5135, 5573, 5851
3, 32166, 5783, 6342, 6842
4, 201738, 6550, 7198, 7723
5, 0, 7969, 8207, 8621
6, 0, 12606, 8851, 9123
7, 0, 31045, 8832, 9640
8,0, 144377, 8728, 9778
9,0, 0, 9076, 9674
10,0, 0, 9219, 9773
11,0, 0, 9576, 9634
12,0, 0, 10554, 9413
13,0, 0, 11945, 9325
14,0, 0, 15167, 9014
15,0, 0, 20315, 8556
16,0,0, 61914, 8102
17,0,0, 0, 7845
18,0,0, 0, 7030
19,0,0, 0, 6470
20,0,0, 0, 5938
21,0,0, 0, 5585
22,0,0, 0, 4739
23,0,0, 0, 4273
24,0,0, 0, 3926
25,0,0, 0, 3333
26,0,0, 0, 2852
27,0,0, 0, 2453
28,0,0, 0, 2163
29,0,0, 0, 1922
30,0,0, 0, 1648
31,0,0, 0, 1443
32,0,0,0, 1018
33,0,0,0, 1002
34,0,0,0, 766
35,0,0,0, 722
36,0,0,0, 521
37,0,0,0, 420
38,0,0,0, 383
39,0,0,0, 271
40,0,0,0, 256
41,0,0,0, 186
42,0,0,0, 176
43,0,0,0, 155
44,0,0,0, 120
45,0,0,0, 76
46,0,0,0, 68
47,0,0,0, 45
48,0,0,0, 39
49,0,0,0, 14
50,0,0,0, 15
51,0,0,0, 22
52,0,0,0, 38
53,0,0,0, 22
54,0,0,0, 3
55,0,0,0, 9
56,0,0,0, 12
57,0,0,0, 0
58,0,0,0, 0
59,0,0,0, 0
60,0,0,0, 0
61,0,0,0, 0
62,0,0,0, 0
63,0,0,0, 0

