stage_occ_PMU_2d,4-pipedepth,8-pipedepth,16-pipedepth,64-pipedepth
 1, 34478, 9098, 8693, 9002
 2, 156537, 10134, 9649, 10029
 3, 32897, 19524, 10582, 10898
 4, 6646, 50548, 11232, 11763
 5,0, 59195, 11640, 12232
 6,0, 34596, 12338, 12186
 7,0, 9442, 13671, 12129
 8,0, 3466, 16146, 11565
 9,0,0, 17943, 10804
 10,0,0, 16843, 10060
 11,0,0, 14848, 8849
 12,0,0, 12068, 7714
 13,0,0, 8538, 6690
 14,0,0, 6361, 5691
 15,0,0, 1597, 4804
 16,0,0, 594, 4071
 17,0,0,0, 3430
 18,0,0,0, 2792
 19,0,0,0, 2403
 20,0,0,0, 1865
 21,0,0,0, 1412
 22,0,0,0, 1204
 23,0,0,0, 988
 24,0,0,0, 695
 25,0,0,0, 537
 26,0,0,0, 408
 27,0,0,0, 332
 28,0,0,0, 246
 29,0,0,0, 184
 30,0,0,0, 138
 31,0,0,0, 150
 32,0,0,0, 88
 33,0,0,0, 70
 34,0,0,0, 43
 35,0,0,0, 38
 36,0,0,0, 19
 37,0,0,0, 12
 38,0,0,0, 9
 39,0,0,0, 7
 40,0,0,0, 4
 41,0,0,0, 7

